what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668808700967
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1668808702181
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1668808702222
opened,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1668808704775
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1668808705250
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1668808705286
error,log,,,"Failed Executing: [nios2-download, '--cable=', --instance=-1, --stop, --sidp=0x81030, --id=0x0, --timestamp=1668807207] return code: 16",1668808707407
error,log,,,"Failed Executing: [nios2-download, '--cable=', --instance=-1, --go, --sidp=0x81030, --id=0x0, --timestamp=1668807207, /cygdrive/d/CO503AdvancedEmbeddedSystems/Newfolder/CounterSOC/software/counter/counter.elf] return code: 16",1668808710263
error,log,,,"Downloading ELF Process failed",1668808710270
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668808710422
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668808721413
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668808732575
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668808734227
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1668808734596
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1668808736915
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1668808737169
